smiles,bin_activity
CC1=CC(=C(C)[N]1C2=CC=CC=C2)C3=NN=C(O3)SCC(=NC4=CC(=CC=C4)OC)O,1
CCN(CC(=NC1=C(C=CC=C1F)F)O)C(C2=C(C)[N](C(=C2)C)C3=CC=C(C=C3)F)=O,1
CC1=CC(=CC=C1)[N]2C(=CC(=C2C)C(N(C)CC(N=C3C=C(C)ON3)=O)=O)C,1
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)Cl)CNC3CCN(CC3)CC(=NC)O,0
CCN=C([C@@H]1C[C@H](CN1CC2=C(C)[N](C(=C2)C)C3=CC=CC=C3Cl)N)O,0
FC1=CC=C(C=C1)N2C(C)=CC(/C=C(SC(N(C3=CC=CC=C3)C(C)=O)=N4)/C4=O)=C2C,1
CCC1=CC=C(C=C1)[N]2C(=CC(=C2C)CN3CCC(CC3)C(=O)O)C,1
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)F)C(=O)OCC(N(C)C)=O,0
FC(C=C1)=CC=C1N2C=C(C(OCC(N)=O)=O)C=N2,1
FC(C=C1)=CC=C1N2C(C)=C(C(N(C)C)=O)C=C2C,1
FC(C=C1)=CC=C1N2C(C)=CC(CNC3CCN(CC4=CC=CC=C4)CC3)=C2C,0
FC1=CC=C(N2N=CC(C3=NC(C(OC)=O)=CO3)=C2C)C=C1,1
FC1=CC=C(N2C(C)=CC(C(CCC(O)=O)=O)=C2C)C=C1,1
FC1=CC=C(N2C(C)=CC(C(CCC(N(C)C)=O)=O)=C2C)C=C1,1
FC1=CC=C(N2C(C)=CC(C(OC(C)C(OCC)=O)=O)=C2C)C=C1,1
FC1=CC=C(CCOC2=CN=CC3=NN=C([N]23)C4=CC=C(Cl)C=C4)C=C1,1
FC(C=C1)=CC=C1CCOC2=CN=CC3=NN=C(C4=CC=C(S(C)(=O)=O)C=C4)N32,0
[H]N(C1=NN=C(C2=CC=CC=C2)S1)C3=NC(OCCC4=CC=C(F)C=C4)=CN=C3,0
FC(C(F)=C1)=CC=C1CCOC2=CN=CC3=NN=C(C4=CC=C(S(C)(=O)=O)C=C4)N32,1
O=C(CC1=CC=C(F)C(F)=C1)NC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,0
O=C(CCC1=CC(F)=C(F)C=C1)NC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,0
FC1=CC=C(CCOC2=CN=CC3=NN=C([N]23)C4=CC=C(C=C4)C#N)C=C1,1
FC1=CC=C(C=C1F)CCOC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N23,1
